Job,Detailed Work Activity,Interest Description,Task,Skills
Document Management Specialist,Prepare instruction manuals.,,Operate data capture technology to import digitized documents into document management system.,
Document Management Specialist,Analyze data to identify or resolve operational problems.,,Prepare support documentation and training materials for end users of document management systems.,
Document Management Specialist,,,"Search electronic sources, such as databases or repositories, or manual sources for information.",
Document Management Specialist,,,"Implement scanning or other automated data entry procedures, using imaging devices and document imaging software.",
Document Management Specialist,,,"Analyze, interpret, or disseminate system performance data.",
Geographic Information Systems Technologists and Technicians,Prepare graphics or other visual representations of information.,"Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Produce data layers, maps, tables, or reports, using spatial analysis procedures or Geographic Information Systems (GIS) technology, equipment, or systems.","Expertise in using GIS software such as ArcGIS, QGIS, and MapInfo for data analysis, mapping, and visualization is essential for manipulating spatial data and generating outputs."
Geographic Information Systems Technologists and Technicians,Prepare analytical reports.,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.","Design or prepare graphic representations of Geographic Information Systems (GIS) data, using GIS hardware or software applications.",Skills in analyzing complex datasets and visualizing results through maps and graphs help in interpreting geographic information effectively.
Geographic Information Systems Technologists and Technicians,Create databases to store electronic data.,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.",Maintain or modify existing Geographic Information Systems (GIS) databases.,"Proficiency in programming languages such as Python and SQL is important for automating tasks, performing spatial analysis, and managing databases."
Geographic Information Systems Technologists and Technicians,Update computer database information.,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.",Provide technical expertise in Geographic Information Systems (GIS) technology to clients or users.,"Knowledge of managing spatial databases, including data collection, cleaning, integration, and storage practices, is crucial for maintaining data integrity."
Geographic Information Systems Technologists and Technicians,Provide technical support for software maintenance or use.,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.","Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements.",Understanding remote sensing principles and techniques enables professionals to analyze satellite imagery and aerial photographs for geographic analysis.
Geographic Information Systems Technologists and Technicians,Design software applications.,"Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities.","Enter data into Geographic Information Systems (GIS) databases, using techniques such as coordinate geometry, keyboard entry of tabular data, manual digitizing of maps, scanning or automatic conversion to vectors, or conversion of other sources of digital data.",Ability to source and evaluate raw data from various formats and ensure its reliability is vital for effective GIS analysis.
Geographic Information Systems Technologists and Technicians,Write computer programming code.,,"Review existing or incoming data for currency, accuracy, usefulness, quality, or completeness of documentation.",Knowledge of statistical methods to analyze spatial data and derive meaningful conclusions is critical for supporting decision-making processes.
Geographic Information Systems Technologists and Technicians,Evaluate data quality.,,"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software.",Strong verbal and written communication skills are necessary for presenting findings clearly to stakeholders and collaborating with interdisciplinary teams.
Geographic Information Systems Technologists and Technicians,Develop scientific or mathematical models.,,Design or coordinate the development of integrated Geographic Information Systems (GIS) spatial or non-spatial databases.,The capacity to identify issues within geographic data or analysis processes and develop innovative solutions is essential for success in GIS roles.
Geographic Information Systems Technologists and Technicians,Analyze data to identify trends or relationships among variables.,,Perform integrated or computerized Geographic Information Systems (GIS) analyses to address scientific problems.,"A meticulous approach ensures accuracy in data analysis, mapping, and reporting, reducing the likelihood of errors that could impact outcomes."
Geographic Information Systems Technologists and Technicians,Prepare data for analysis.,,Select cartographic elements needed for effective presentation of information.,"Familiarity with project management methodologies helps in planning, executing, and monitoring GIS projects effectively."
Geographic Information Systems Technologists and Technicians,Coordinate project activities with other personnel or departments.,,"Provide technical support to users or clients regarding the maintenance, development, or operation of Geographic Information Systems (GIS) databases, equipment, or applications.",
Geographic Information Systems Technologists and Technicians,Design computer modeling or simulation programs.,,"Collect, compile, or integrate Geographic Information Systems (GIS) data, such as remote sensing or cartographic data for inclusion in map manuscripts.",
Geographic Information Systems Technologists and Technicians,Document technical specifications or requirements.,,Interpret aerial or ortho photographs.,
Geographic Information Systems Technologists and Technicians,Test software performance.,,"Meet with clients to discuss topics such as technical specifications, customized solutions, or operational problems.",
Geographic Information Systems Technologists and Technicians,Collaborate with others to resolve information technology issues.,,"Document, design, code, or test Geographic Information Systems (GIS) models, internet mapping solutions, or other applications.",
Geographic Information Systems Technologists and Technicians,Troubleshoot issues with computer applications or systems.,,"Create, analyze, report, convert, or transfer data, using specialized applications program software.",
Geographic Information Systems Technologists and Technicians,Develop models of information or communications systems.,,"Confer with users to analyze, configure, or troubleshoot applications.",
Geographic Information Systems Technologists and Technicians,Recommend changes to improve computer or information systems.,,"Design, program, or model Geographic Information Systems (GIS) applications or procedures.",
Geographic Information Systems Technologists and Technicians,Collaborate with others to determine design specifications or details.,,"Develop specialized computer software routines, internet-based Geographic Information Systems (GIS) databases, or business applications to customize geographic information.",
Geographic Information Systems Technologists and Technicians,Train others in computer interface or software use.,,"Make recommendations regarding upgrades, considering implications of new or revised Geographic Information Systems (GIS) software, equipment, or applications.",
Geographic Information Systems Technologists and Technicians,Analyze Geographic Information Systems (GIS) data for use in green applications.,,Assist users in formulating Geographic Information Systems (GIS) requirements or understanding the implications of alternatives.,
Geographic Information Systems Technologists and Technicians,Conduct research to gain information about products or processes.,,"Create visual representations of geospatial data, using complex procedures such as analytical modeling, three-dimensional renderings, or plot creation.",
Geographic Information Systems Technologists and Technicians,Design integrated computer systems.,,Transfer or rescale information from original photographs onto maps or other photographs.,
Geographic Information Systems Technologists and Technicians,Update knowledge about emerging industry or technology trends.,,"Prepare training materials for, or make presentations to, Geographic Information Systems (GIS) users.",
Geographic Information Systems Technologists and Technicians,,,Apply three-dimensional (3D) or four-dimensional (4D) technologies to geospatial data to allow for new or different analyses or applications.,
Geographic Information Systems Technologists and Technicians,,,"Conduct research, data analysis, systems design, or support for software such as Geographic Information Systems (GIS) or Global Positioning Systems (GPS) mapping software.",
Geographic Information Systems Technologists and Technicians,,,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in Geographic Information Systems (GIS) technology, equipment, or systems.",
Geographic Information Systems Technologists and Technicians,,,"Recommend procedures, equipment, or software upgrades to increase data accessibility or ease of use.",
Health Informatics Specialist,Communicate project information to others.,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.","Translate nursing practice information between nurses and systems engineers, analysts, or designers, using object-oriented models or other techniques.","Expertise in using EMR systems, particularly with platforms like Epic, is essential for managing patient data and supporting clinical workflows."
Health Informatics Specialist,Apply information technology to solve business or other applied problems.,"Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.",Use informatics science to design or implement health information technology applications for resolution of clinical or health care administrative problems.,"Strong skills in data analysis, including familiarity with tools for data visualization, are critical for interpreting health data and presenting findings effectively."
Health Informatics Specialist,Design healthcare-related software applications.,"Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities.","Develop or implement policies or practices to ensure the privacy, confidentiality, or security of patient information.","Proficiency in programming languages such as Python, R, and SQL is important for automating data processes, performing statistical analyses, and managing databases."
Health Informatics Specialist,Develop computer or information security policies or procedures.,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.","Analyze and interpret patient, nursing, or information systems data to improve nursing services.","In-depth knowledge of health information systems, including EHRs, telemedicine technologies, and data integration practices, is vital for optimizing healthcare delivery."
Health Informatics Specialist,Implement security measures for computer or information systems.,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.","Identify, collect, record, or analyze data relevant to the nursing care of patients.",Familiarity with regulations such as HIPAA and HITECH is crucial for ensuring that health informatics practices comply with legal standards regarding patient privacy and data security.
Health Informatics Specialist,Analyze health-related data.,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.","Apply knowledge of computer science, information science, nursing, and informatics theory to nursing practice, education, administration, or research, in collaboration with other health informatics specialists.",Skills in analyzing healthcare systems to identify needs and designing solutions that improve efficiency and effectiveness are essential.
Health Informatics Specialist,Document operational activities.,,"Develop, implement, or evaluate health information technology applications, tools, processes, or structures to assist nurses with data management.","Experience in building and maintaining databases, including knowledge of data structuring and management, is important for handling large volumes of healthcare data."
Health Informatics Specialist,Evaluate utility of software or hardware technologies.,,"Design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts.","Strong verbal and written communication skills are necessary for collaborating with healthcare professionals, providing training, and conveying complex information clearly."
Health Informatics Specialist,Test computer system operations to ensure proper functioning.,,"Disseminate information about nursing informatics science and practice to the profession, other health care professions, nursing students, and the public.",The ability to work effectively with diverse teams and understand the needs of various stakeholders is crucial for successful implementation of informatics solutions.
Health Informatics Specialist,Provide technical information or assistance to public.,,"Analyze computer and information technologies to determine applicability to nursing practice, education, administration, and research.",Creative problem-solving skills are important for addressing challenges within healthcare settings and developing innovative technology-based solutions.
Health Informatics Specialist,Develop guidelines for system implementation.,,"Develop strategies, policies or procedures for introducing, evaluating, or modifying information technology applied to nursing practice, administration, education, or research.",Ability to develop training materials and provide technical support to healthcare staff on new systems and technologies is essential for ensuring effective use of informatics tools.
Health Informatics Specialist,Conduct research to gain information about products or processes.,,"Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in informatics.",Competence in researching new technologies and assessing their potential benefits for healthcare operations is valuable for continuous improvement.
Health Informatics Specialist,Design research studies to obtain scientific information.,,"Develop or deliver training programs for health information technology, creating operating manuals as needed.",
Health Informatics Specialist,Train others in computer interface or software use.,,"Design, conduct, or provide support to nursing informatics research.",
Health Informatics Specialist,Update knowledge about emerging industry or technology trends.,,"Inform local, state, national, and international health policies related to information management and communication, confidentiality and security, patient safety, infrastructure development, and economics.",
Health Informatics Specialist,Provide recommendations to others about computer hardware.,,Provide consultation to nurses regarding hardware or software configuration.,
Health Informatics Specialist,Install computer software.,,"Plan, install, repair, or troubleshoot telehealth technology applications or systems in homes.",
Health Informatics Specialist,Provide technical support for software maintenance or use.,,,
Health Informatics Specialist,Troubleshoot issues with computer applications or systems.,,,
Information Security Analyst,Develop computer or information security policies or procedures.,"Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",Proficient analytical skills are essential for collecting and analyzing information to identify vulnerabilities and assess potential risks within an organization's IT systems.
Information Security Analyst,Update knowledge about emerging industry or technology trends.,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.",Monitor current reports of computer viruses to determine when to update virus protection systems.,"Strong understanding of network protocols, firewalls, routers, and overall network architecture is crucial for protecting against security threats."
Information Security Analyst,Implement security measures for computer or information systems.,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.",Encrypt data transmissions and erect firewalls to conceal confidential information as it is being transmitted and to keep out tainted digital transfers.,"Familiarity with security frameworks such as NIST, ISO, and HIPAA is important for establishing and maintaining an organization's security posture."
Information Security Analyst,Test computer system operations to ensure proper functioning.,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.",Perform risk assessments and execute tests of data processing system to ensure functioning of data processing activities and security measures.,"Experience with various operating systems (e.g., Windows, Linux, iOS) is vital for identifying and mitigating vulnerabilities that could be exploited by attackers."
Information Security Analyst,Collaborate with others to resolve information technology issues.,"Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities.","Modify computer security files to incorporate new software, correct errors, or change individual access status.","Understanding data privacy regulations (e.g., GDPR, CCPA) is crucial for ensuring compliance and protecting sensitive information."
Information Security Analyst,Document operational procedures.,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.",Review violations of computer security procedures and discuss procedures with violators to ensure violations are not repeated.,"Knowledge of programming languages such as Python, Bash, JavaScript, and C/C++ is beneficial for automating tasks, analyzing code for vulnerabilities, and developing security tools."
Information Security Analyst,Troubleshoot issues with computer applications or systems.,,"Document computer security and emergency measures policies, procedures, and tests.","Skills in responding to security incidents, conducting audits, and documenting findings are critical for maintaining organizational security."
Information Security Analyst,Coordinate project activities with other personnel or departments.,,"Confer with users to discuss issues such as computer data access needs, security violations, and programming changes.",Understanding cloud security principles and practices is increasingly important as organizations migrate to cloud-based solutions.
Information Security Analyst,Monitor the security of digital information.,,Monitor use of data files and regulate access to safeguard information in computer files.,Proficiency in cryptographic techniques is essential for securing communications and protecting sensitive data from unauthorized access.
Information Security Analyst,Train others in computer interface or software use.,,Coordinate implementation of computer system plan with establishment personnel and outside vendors.,Strong verbal and written communication skills are necessary for conveying technical information clearly to non-technical stakeholders and preparing reports on security incidents.
Information Security Analyst,,,Train users and promote security awareness to ensure system security and to improve server and network efficiency.,"A meticulous approach is vital for monitoring networks, identifying threats, and ensuring that no critical details are overlooked during investigations."
Network and Computer Systems Administrator,Maintain computer networks to enhance performance and user access.,"Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Maintain and administer computer networks and related computing environments, including computer hardware, systems software, applications software, and all configurations.",Proficiency in configuring and managing local area networks (LANs) and wide area networks (WANs) is essential for maintaining an organization’s network infrastructure
Network and Computer Systems Administrator,Implement security measures for computer or information systems.,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.",Perform data backups and disaster recovery operations.,"Strong understanding of various operating systems (e.g., Windows, Linux, macOS) is crucial for administering and troubleshooting systems within the network environment."
Network and Computer Systems Administrator,Create electronic data backup to prevent loss of information.,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.","Diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.","Expertise in implementing and managing security protocols, including firewalls, intrusion detection systems, and virtual private networks (VPNs), to protect data integrity and prevent unauthorized access."
Network and Computer Systems Administrator,Resolve computer network problems.,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.","Configure, monitor, and maintain email applications or virus protection software.","Ability to diagnose and resolve hardware, software, and network issues quickly is vital for minimizing downtime and ensuring efficient operations."
Network and Computer Systems Administrator,Resolve computer software problems.,"Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities.",Operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use.,Skills in performing regular data backups and developing disaster recovery plans are essential for safeguarding organizational data against loss.
Network and Computer Systems Administrator,Troubleshoot issues with computer applications or systems.,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.",Monitor network performance to determine whether adjustments are needed and where changes will be needed in the future.,"Familiarity with cloud services and platforms (e.g., AWS, Azure) is increasingly important as organizations adopt cloud-based solutions for flexibility and scalability."
Network and Computer Systems Administrator,Monitor the performance of computer networks.,,"Plan, coordinate, and implement network security measures to protect data, software, and hardware.","Proficiency in scripting languages (e.g., Python, Bash) allows administrators to automate routine tasks, improving efficiency in network management."
Network and Computer Systems Administrator,Develop computer or information security policies or procedures.,,Analyze equipment performance records to determine the need for repair or replacement.,"Understanding of database systems (e.g., SQL) is beneficial for managing data storage solutions and ensuring data accessibility for users."
Network and Computer Systems Administrator,Analyze data to identify or resolve operational problems.,,Confer with network users about solutions to existing system problems.,Strong verbal and written communication skills are necessary for explaining technical concepts to non-technical staff and collaborating with various teams within the organization.
Network and Computer Systems Administrator,Provide technical support for computer network issues.,,"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.","The ability to analyze complex problems, identify root causes, and develop effective solutions is crucial for maintaining network performance."
Network and Computer Systems Administrator,Analyze project data to determine specifications or requirements.,,"Design, configure, and test computer hardware, networking software and operating system software.","A meticulous approach ensures that configurations are accurate, documentation is thorough, and potential issues are identified early."
Network and Computer Systems Administrator,Identify information technology project resource requirements.,,"Perform routine network startup and shutdown procedures, and maintain control records.",The capacity to manage multiple tasks and projects simultaneously is essential in a dynamic IT environment where priorities can shift rapidly.
Network and Computer Systems Administrator,Recommend changes to improve computer or information systems.,,"Load computer tapes and disks, and install software and printer paper or forms.",
Network and Computer Systems Administrator,Collaborate with others to resolve information technology issues.,,Train people in computer system use.,
Network and Computer Systems Administrator,Design integrated computer systems.,,"Maintain logs related to network functions, as well as maintenance and repair records.",
Network and Computer Systems Administrator,Test computer hardware performance.,,"Gather data pertaining to customer needs, and use the information to identify, predict, interpret, and evaluate system and network requirements.",
Network and Computer Systems Administrator,Test software performance.,,Coordinate with vendors and with company personnel to facilitate purchases.,
Network and Computer Systems Administrator,Document operational activities.,,"Implement and provide technical support for voice services and equipment, such as private branch exchange, voice mail system, and telecom system.",
Network and Computer Systems Administrator,Install computer hardware.,,Maintain an inventory of parts for emergency repairs.,
Network and Computer Systems Administrator,Train others in computer interface or software use.,,"Research new technologies by attending seminars, reading trade articles, or taking classes, and implement or recommend the implementation of new technologies.",
Network and Computer Systems Administrator,Document network-related activities or tasks.,,,
Network and Computer Systems Administrator,Collect data about customer needs.,,,
Network and Computer Systems Administrator,Coordinate resource procurement activities.,,,
Network and Computer Systems Administrator,Conduct research to gain information about products or processes.,,,
Network and Computer Systems Administrator,Maintain the inventory of equipment.,,,
Network and Computer Systems Administrator,Update knowledge about emerging industry or technology trends.,,,
Operations Research Analyst,Present research results to others.,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.",Present the results of mathematical modeling and data analysis to management or other end users.,Proficiency in applying analytical methods and mathematical models to optimize decision-making processes and solve complex operational problems.
Operations Research Analyst,Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields.,"Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Define data requirements, and gather and validate information, applying judgment and statistical tests.","Strong skills in statistical methods to analyze data, develop predictive models, and evaluate outcomes are essential for making informed recommendations."
Operations Research Analyst,Determine appropriate methods for data analysis.,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.","Perform validation and testing of models to ensure adequacy, and reformulate models, as necessary.","Ability to collect, organize, and interpret large datasets to identify trends and insights that can inform business strategies."
Operations Research Analyst,Evaluate data quality.,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.",Prepare management reports defining and evaluating problems and recommending solutions.,Knowledge of mathematical modeling techniques to represent real-world systems and predict their behavior under various scenarios.
Operations Research Analyst,Develop scientific or mathematical models.,"Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities.",Collaborate with others in the organization to ensure successful implementation of chosen problem solutions.,"Proficiency in programming languages such as Python, R, and MATLAB is important for developing algorithms and performing complex calculations."
Operations Research Analyst,Document operational activities.,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.","Formulate mathematical or simulation models of problems, relating constants and variables, restrictions, alternatives, conflicting objectives, and their numerical parameters.","Familiarity with optimization methods, including linear programming and simulation modeling, to enhance operational efficiency."
Operations Research Analyst,Collaborate with others to resolve information technology issues.,,"Observe the current system in operation, and gather and analyze information about each of the component problems, using a variety of sources.","Skills in using visualization tools (e.g., Tableau, Power BI) to present data findings clearly and effectively to stakeholders."
Operations Research Analyst,Conduct research to gain information about products or processes.,,Analyze information obtained from management to conceptualize and define operational problems.,"Understanding project management principles to plan, execute, and oversee projects aimed at improving operational processes."
Operations Research Analyst,Troubleshoot issues with computer applications or systems.,,Study and analyze information about alternative courses of action to determine which plan will offer the best outcomes.,Strong analytical skills are necessary for assessing data critically and making logical decisions based on findings.
Operations Research Analyst,Analyze data to identify or resolve operational problems.,,Collaborate with senior managers and decision makers to identify and solve a variety of problems and to clarify management objectives.,Excellent verbal and written communication skills are essential for conveying complex ideas clearly to non-technical audiences and collaborating with team members.
Operations Research Analyst,Analyze project data to determine specifications or requirements.,,Specify manipulative or computational methods to be applied to models.,The capacity to identify issues within organizational processes and develop viable solutions is crucial for driving improvements.
Operations Research Analyst,Design computer modeling or simulation programs.,,"Design, conduct, and evaluate experimental operational models in cases where models cannot be developed from existing data.","Ability to conduct thorough research, assess sources, and gather evidence to support recommendations is important for informed decision-making."
Operations Research Analyst,Develop detailed project plans.,,"Develop and apply time and cost networks to plan, control, and review large projects.",Strong interpersonal skills enable effective collaboration with cross-functional teams to address operational challenges collectively.
Operations Research Analyst,Manage budgets for appropriate resource allocation.,,"Break systems into their components, assign numerical values to each component, and examine the mathematical relationships between them.",
Operations Research Analyst,Analyze data to identify trends or relationships among variables.,,Educate staff in the use of mathematical models.,
Operations Research Analyst,Train others on work processes.,,"Develop business methods and procedures, including accounting systems, file systems, office systems, logistics systems, and production schedules.",
Operations Research Analyst,Apply information technology to solve business or other applied problems.,,Review research literature.,
Operations Research Analyst,Review professional literature to maintain professional knowledge.,,,
Penetration Tester,Develop testing routines or procedures.,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.","Assess the physical security of servers, systems, or network devices to identify vulnerability to temperature, vandalism, or natural disasters.","Mastery of programming languages such as Python, Ruby, Java, and C# is essential for writing scripts, tools, and exploits to automate tasks and customize attacks."
Penetration Tester,"Analyze security of systems, network, or data.","Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.",Collect stakeholder data to evaluate risk and to develop mitigation strategies.,"In-depth knowledge of networking protocols (e.g., TCP/IP, DNS, HTTP) and network architecture is crucial for identifying vulnerabilities within network systems."
Penetration Tester,Prepare scientific or technical reports or presentations.,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.","Conduct network and security system audits, using established criteria.","Proficiency in using penetration testing tools such as Metasploit, Burp Suite, Nmap, and Wireshark is vital for scanning, exploiting vulnerabilities, and analyzing security measures."
Penetration Tester,Stay informed about current developments in field of specialization.,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.",Configure information systems to incorporate principles of least functionality and least access.,"Strong understanding of various operating systems (e.g., Windows, Linux, macOS) helps in navigating and exploiting different environments effectively."
Penetration Tester,Analyze risks to minimize losses or damages.,"Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities.",Design security solutions to address known device vulnerabilities.,Ability to identify and assess vulnerabilities using both automated tools and manual techniques is critical for conducting thorough penetration tests.
Penetration Tester,Develop computer or information security policies or procedures.,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.",Develop and execute tests that simulate the techniques of known cyber threat actors.,Skills in social engineering are important for assessing human vulnerabilities and understanding how to manipulate user behavior to gain unauthorized access.
Penetration Tester,Develop computer or information systems.,,Develop infiltration tests that exploit device vulnerabilities.,"Knowledge of encryption methods and security principles (e.g., authentication, access control) is essential for evaluating the security posture of systems."
Penetration Tester,Develop organizational policies or programs.,,Develop presentations on threat intelligence.,"Excellent verbal and written communication abilities are necessary for documenting findings, preparing reports, and presenting results to stakeholders effectively."
